file;size;repeat;TOT_CYC;L1_CACHE_MISSES;TOT_INS
test_addition_static;8;20;12836;235;4959
test_addition_static;8;20;14006;240;4959
test_addition_static;8;20;13486;241;4959
test_addition_static;8;20;13136;237;4959
test_addition_static;8;20;13250;243;4959
test_addition_static;8;20;12843;244;4959
test_addition_static;8;20;13412;250;4959
test_addition_static;8;20;13047;237;4959
test_addition_static;8;20;13297;241;4959
test_addition_static;8;20;13149;238;4959
test_addition_static;8;20;12863;235;4959
test_addition_static;8;20;13174;246;4959
test_addition_static;8;20;12844;250;4959
test_addition_static;8;20;14502;286;4959
test_addition_static;8;20;13179;236;4959
test_addition_static;8;20;13785;242;4959
test_addition_static;8;20;13818;241;4959
test_addition_static;8;20;13911;232;4959
test_addition_static;8;20;13434;233;4959
test_addition_static;8;20;13205;228;4959
test_addition_static;8;50;13703;239;5529
test_addition_static;8;50;13900;243;5529
test_addition_static;8;50;13312;234;5529
test_addition_static;8;50;13348;246;5529
test_addition_static;8;50;13746;239;5529
test_addition_static;8;50;13796;242;5529
test_addition_static;8;50;13732;261;5529
test_addition_static;8;50;13754;237;5529
test_addition_static;8;50;13215;229;5529
test_addition_static;8;50;13449;255;5529
test_addition_static;8;50;13896;238;5530
test_addition_static;8;50;13196;236;5529
test_addition_static;8;50;13638;239;5529
test_addition_static;8;50;13561;235;5529
test_addition_static;8;50;12944;238;5529
test_addition_static;8;50;13469;251;5529
test_addition_static;8;50;12996;245;5529
test_addition_static;8;50;13033;250;5529
test_addition_static;8;50;13195;242;5529
test_addition_static;8;50;13935;242;5529
test_addition_static;8;100;14148;244;6479
test_addition_static;8;100;13798;218;6479
test_addition_static;8;100;14072;224;6479
test_addition_static;8;100;13622;240;6479
test_addition_static;8;100;14063;248;6479
test_addition_static;8;100;13460;256;6479
test_addition_static;8;100;14364;252;6479
test_addition_static;8;100;13469;239;6479
test_addition_static;8;100;13784;251;6479
test_addition_static;8;100;13483;244;6479
test_addition_static;8;100;13703;226;6479
test_addition_static;8;100;13528;252;6479
test_addition_static;8;100;14063;247;6479
test_addition_static;8;100;13295;233;6479
test_addition_static;8;100;13553;245;6479
test_addition_static;8;100;14122;223;6479
test_addition_static;8;100;13973;236;6479
test_addition_static;8;100;13584;271;6479
test_addition_static;8;100;13553;229;6479
test_addition_static;8;100;14103;233;6479
test_addition_static;8;1000;21561;245;23579
test_addition_static;8;1000;19246;238;23579
test_addition_static;8;1000;19910;244;23579
